org_code,org_name,region_code,avg_occupancy_total,avg_occupancy_general_acute,avg_available_total,avg_occupied_total,quarters_reported
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,Y60,94.15200459945629,98.74831306166848,1150.1735182088444,1082.9305502468546,4
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Y61,94.06425714130329,95.5939928128071,1282.7638212029515,1206.5975712693105,4
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,Y60,93.80950677802358,97.18721846613181,584.6142512077295,548.4366817964644,4
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Y56,93.66714832151976,95.29093708013696,1094.5133294845252,1025.1957424218294,4
RNZ,SALISBURY NHS FOUNDATION TRUST,Y58,93.30175787789356,94.75348423954753,474.1999734564952,442.41973443223446,4
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,Y62,93.26816333224605,95.28208548095223,989.7948060996974,923.0331521739131,4
RN7,DARTFORD AND GRAVESHAM NHS TRUST,Y59,93.22583548301027,92.9343420322968,578.3914032223815,539.2589955937782,4
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,Y60,93.19461842781496,94.09200388443948,863.679836890163,804.8503218399958,4
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Y58,93.07442219690365,97.37639850417602,571.4178372352286,531.8286822477039,4
RT2,PENNINE CARE NHS FOUNDATION TRUST,Y62,92.93375562771473,,487.92934782608694,453.4658192652758,4
RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,Y63,92.90199937382539,86.92576183723872,217.56771513510643,202.0422751765143,4
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Y58,92.83947804283834,95.24594848912731,1069.614162950576,992.6059258374476,4
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y61,92.81157751458056,96.81371521501957,996.5397913680522,924.925428014015,4
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,Y58,92.76690417618323,,164.70439693157084,152.7968486223921,4
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,Y59,92.75401301970547,,176.3118271221532,163.55386407071188,4
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,Y63,92.60281679193572,95.05011765003908,991.9711312841748,918.7418352179221,4
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,Y63,92.5233609262757,94.93318570822422,491.42706309391093,454.72269934172107,4
R1F,ISLE OF WIGHT NHS TRUST,Y59,92.41409327733734,95.2666701974939,296.0595642883686,273.5717616924139,4
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,Y62,92.28897195511036,93.13480744000044,1586.5274466475553,1464.1825589265807,4
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,Y60,92.19790175300786,92.704736311998,1864.0932114986463,1719.0991811328768,4
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,Y62,92.19145174194293,,275.8405087062696,253.78427960927962,4
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,Y58,92.15757731877733,94.74402452467629,884.703596644901,815.525323167171,4
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,Y58,92.09021645002326,97.48736131246798,729.2905923183097,671.6958512501991,4
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,Y61,92.01800166637778,95.51361152103465,498.0,458.24964829856134,4
RJ2,LEWISHAM AND GREENWICH NHS TRUST,Y56,92.01513115891942,92.57970897317308,1048.0742992514731,964.4998944895684,4
RBV,THE CHRISTIE NHS FOUNDATION TRUST,Y62,91.95672179739991,91.95672179739991,184.49785329404895,169.68029410203323,4
RWK,EAST LONDON NHS FOUNDATION TRUST,Y56,91.87522235102033,83.99941998975382,830.1568621595795,763.0872737166216,4
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,Y60,91.76182070947098,,260.5257697616393,238.35253623188407,4
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,Y63,91.62716653632258,95.91560836936918,1877.5545688007646,1719.9889240590328,4
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,Y59,91.44348477327418,93.01145722893243,703.5063419068854,643.2713834474705,4
RJ6,CROYDON HEALTH SERVICES NHS TRUST,Y56,91.41695284701402,95.9680258891428,488.1496270637575,446.3169540001062,4
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,Y58,91.04756094199139,91.54309676387635,1115.1908949142644,1015.2863599564687,4
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,Y60,91.04633653473013,93.13098011295587,735.138427695493,669.3291095981314,4
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,90.90850887508806,91.33684488042715,697.4610779317301,634.1091621542708,4
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,Y63,90.84306331794829,92.76514500600967,494.68611111111113,449.33353705473274,4
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,Y58,90.81364210302549,97.3382702427038,171.85866313638053,156.07062961193395,4
RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,Y62,90.7584135655136,,777.8900548123374,706.0132014121144,4
RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,Y63,90.54327504823094,,423.44740271805495,383.204546902373,4
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,Y60,90.52640567029276,92.2568754179575,946.3079272177098,856.649809550353,4
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y59,90.52597160904149,92.16953057985975,1101.8159420289855,997.4031142167012,4
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,Y59,90.29799270118231,93.66413878708427,1965.75,1775.0418113287678,4
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,Y63,90.28545093658462,,192.31521739130434,173.60785488665923,4
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,Y62,90.26649889960848,91.33074514881137,788.826629771195,712.1151981472633,4
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Y56,90.2544618810583,90.10754882849318,1019.3635265700483,918.6336166852471,4
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,Y60,90.1813470756944,93.21005970671666,1566.5819245368157,1412.86330028667,4
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y61,90.1773842474309,90.72347093618816,1106.5218950735255,997.75273530817,4
RPG,OXLEAS NHS FOUNDATION TRUST,Y56,90.17490080708961,,373.83516483516485,337.09694218824654,4
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,Y62,90.10679723542916,92.3381343433417,486.9510478048521,438.66156434145563,4
R1H,BARTS HEALTH NHS TRUST,Y56,90.0279845978892,92.06534953067649,2168.2099717311676,1951.6005560864257,4
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,90.0049935759431,93.30985131781173,813.672615729681,732.5023736529171,4
REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,Y62,90.00413659566978,90.00413659566978,95.0,85.50392976588628,4
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,Y56,89.89742356325112,,351.8590679248288,316.31890295694643,4
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Y59,89.68556222854085,85.16356536111054,170.69652744598397,153.04330705526357,4
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,Y56,89.63393764013006,88.3312310833868,402.1849259436216,360.4747883155492,4
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,Y59,89.51039069535813,91.84441351964152,1129.8163607527738,1011.2789125126081,4
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,Y63,89.51036949895143,89.65800208141317,488.09203163985774,436.8952672930934,4
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,Y59,89.5080745194322,90.55530640171736,1267.5501546159155,1134.308257020757,4
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,89.50236107160822,90.78057493530285,1570.0446455114934,1404.4110215267824,4
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,Y56,89.37911160957721,93.06613260214132,670.9998732547646,599.5707065880979,4
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Y58,89.3463421441017,91.2510676211393,1124.6438711047406,1004.7951418750332,4
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,Y62,89.25988480389161,93.75446523381649,530.3701385570951,473.4087998354303,4
RCF,AIREDALE NHS FOUNDATION TRUST,Y63,89.09765298367827,92.1385829625447,398.17171590486805,354.81989037532514,4
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,Y58,88.95966783780534,,486.3495281892021,432.6820048309179,4
RKE,WHITTINGTON HEALTH NHS TRUST,Y56,88.95047713527786,92.54066885163186,290.8211425651643,258.7837421033073,4
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,Y60,88.84064478864374,90.4298576105035,570.592522031109,506.9774652280087,4
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,Y59,88.79578822672657,88.98666017421166,751.3240696501566,666.8924264744917,4
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Y58,88.62873474547936,94.33393584705905,370.5571866539258,328.1975015926103,4
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,Y59,88.52214655668412,90.1473229613972,508.76028560811164,450.4599193077454,4
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,88.37950631259125,82.32088473467783,687.8369565217391,607.9707132239741,4
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,Y60,88.34990034836443,89.41842786796576,1442.5760869565217,1274.1987643998514,4
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,Y61,88.11187657603419,83.98155865267924,298.76884721558633,263.28584235812497,4
RMC,BOLTON NHS FOUNDATION TRUST,Y62,87.90874251942756,87.58268662583623,639.3017671338323,562.000944948771,4
RBK,WALSALL HEALTHCARE NHS TRUST,Y60,87.76735925555647,89.50628395819179,523.2440721717895,458.98770637574984,4
RWJ,STOCKPORT NHS FOUNDATION TRUST,Y62,87.72710724514145,91.40898565327694,680.0698133991613,596.564248553379,4
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,Y63,87.66913617063942,90.21313381036708,626.4880574136009,549.0445061580931,4
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,Y61,87.66171006763655,,423.44492488188143,371.2274824812868,4
RH5,SOMERSET NHS FOUNDATION TRUST,Y58,87.65826794757213,88.16129442494307,1310.990510033445,1149.123317805383,4
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,Y63,87.63952970357744,88.4456762034576,980.1089637415724,858.987826485109,4
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Y63,87.59799224164423,91.09764060821772,316.53967324945586,276.75208167436426,4
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Y63,87.56582281105732,88.35778547006615,916.2838509316771,802.5154045230132,4
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Y56,87.56352719037423,92.87433857249657,454.4293033657164,397.928516350799,4
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,Y63,87.51572895557209,92.23396777287306,562.6679075755162,492.55926501035196,4
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,Y62,87.49893615235862,89.3917583872723,470.6668657429527,411.83131270903004,4
TAJ,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,Y60,87.48630017953579,,290.01169241386634,253.7124734564952,4
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,87.45109414114275,89.10951846467022,2309.628785103785,2019.7133686361947,4
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,Y56,87.17309601758046,89.87537442633005,1474.0604395604396,1284.9780697563306,4
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,Y60,87.0541335500185,90.37913733277031,768.294209534427,668.8289974518235,4
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,Y62,87.02467805804461,90.51295973319426,549.1761951213039,478.1963157615331,4
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,Y56,87.00667967410035,87.00667967410035,205.5646971386102,178.89687118437118,4
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,Y60,86.87206625554737,,156.8089391888305,136.23261002282743,4
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,Y60,86.67205237065977,88.4185253060925,1780.0341581727453,1542.8667502787068,4
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Y63,86.62916444139952,86.62916444139952,1110.7860354621225,962.3490875670224,4
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,Y59,86.46536211212046,90.24083705618551,1458.4301136062006,1260.5941498115412,4
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,Y59,86.13463107068816,88.22577047884569,726.8616685247121,626.126713383235,4
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,Y60,86.07358310290073,88.90063978966631,641.8745673408716,552.4881549609811,4
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Y58,85.88663326885955,,200.8257923236184,172.52068468970643,4
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Y60,85.84915662529637,,190.18639247226204,163.28013948611775,4
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,Y61,85.68494298118351,89.71480391006033,503.0109797207623,431.2197158517811,4
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,Y60,85.41325541854934,73.33334120256707,376.86882664437013,321.72792841216756,4
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,85.41050570830186,,360.742693236715,307.5738168232733,4
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Y63,85.2764964198646,79.24404651306824,559.0,476.67074507617986,4
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Y61,84.56966395775129,85.06587304781038,594.0,502.4317865105909,4
RJN,EAST CHESHIRE NHS TRUST,Y62,84.09874583285045,90.14321167873234,341.0215301003344,286.6659838350056,4
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,Y63,83.54992548470165,86.64478370548608,802.7217968625578,670.7371210914689,4
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,Y62,83.47837552742615,83.47837552742615,154.31043956043956,128.2062728937729,4
RPA,MEDWAY NHS FOUNDATION TRUST,Y59,83.36615523712159,84.56904597104301,656.6618556564208,547.2987836438924,4
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,Y59,83.17238726082756,88.92460153700563,929.4052522960131,772.6762515262515,4
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,Y56,83.0287922043398,83.1118388760467,1292.033560943887,1072.7488526570048,4
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",Y63,82.70351668345046,,715.9836956521739,592.1230444072835,4
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,Y61,82.53294090626235,88.23281483549442,1079.4692593034983,890.5890766841854,4
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,Y63,82.24855715305242,83.84089986244047,639.7721565270479,523.7407834315443,4
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,Y63,81.20284872667958,84.22844817051484,1567.074809550353,1272.4075788342093,4
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,Y62,80.29348759869217,80.29348759869217,180.72676049795615,145.12770677390242,4
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,Y60,80.00521757629322,77.25885225885226,873.9703495779582,699.2299045761002,4
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,Y60,79.28263727765568,,314.9223602484472,249.6189241917503,4
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,Y56,79.11745464835721,79.60621658126439,227.33333466050857,179.86294991240644,4
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,Y59,78.68225150641962,71.67460036240448,529.376154642459,416.7207802463237,4
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y61,78.51390158989908,80.89154474895254,339.9962971810798,266.92660057333967,4
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,Y60,78.49484745365973,78.49484745365973,127.75993656102352,100.31188352710092,4
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,Y56,78.46658967789408,84.83294327784587,796.8742687264427,625.089002362372,4
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,Y56,76.64580560613005,78.10844095771321,897.9897143918884,688.2744591760896,4
RW4,MERSEY CARE NHS FOUNDATION TRUST,Y62,75.07644921549857,,1109.2728904549558,832.6336146944843,4
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,Y63,74.76964557471149,,204.7173913043478,152.83323976747891,4
RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,Y61,73.64506021495016,73.64506021495016,246.97349100175188,181.59134482667093,4
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,Y60,73.17316266786312,73.17316266786312,101.63072145246059,74.42169931517758,4
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,Y56,72.44463297944094,72.44463297944094,151.279594017094,109.00395232786536,4
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Y62,70.61607131953122,71.63740899042891,213.0,150.41223191060146,4
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Y60,68.64395808463405,68.64395808463405,249.08349591230026,171.31616034931253,4
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,Y62,67.2600124490489,60.11955174883676,110.00516337527208,74.00313412432978,4
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Y63,63.4953351675019,67.42354462874327,163.31016019005148,103.80771022455805,4
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,Y59,54.74601288921714,54.74601288921714,50.78957702925094,27.753909194670065,4
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,Y63,52.90838143713332,52.90838143713332,65.68480251632425,34.07234764028242,4
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Y60,44.37945816951676,,37.69561965811966,16.73295376121463,4
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,Y56,34.836567926455565,34.836567926455565,9.672413335456813,3.3627402187184794,4
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,Y56,,,0.0,0.0,4
